KG,Item_Code,Description,Capacity,Unit,Unit_Price_EUR,Installation_Factor,Total_Unit_Price,Typical_Quantity,Application,Manufacturer,Weight_kg,Efficiency,Busbar_Rating,Breaking_Capacity,Circuits,Sensitivity,Luminous_Flux,Backup_Time
443,SD-002,Sub-Distribution Board 250A 24-way,250 A,Stck,1650,1.5,2475,3-15,Large floor distribution,Siemens/Hager,65,,,,24,,,
443,SD-003,Sub-Distribution Board 400A 36-way,400 A,Stck,2850,1.4,3990,2-10,Zone distribution,Siemens/Hager,95,,,,36,,,
443,MCB-001,Miniature Circuit Breaker (MCB) 1-pole 16A B-curve,16 A,Stck,12,1.8,22,50-200,Lighting circuits,Siemens/ABB,0.1,,,6 kA,,,,
443,MCB-002,Miniature Circuit Breaker (MCB) 3-pole 25A C-curve,25 A,Stck,35,1.6,56,30-150,Power circuits,Siemens/ABB,0.3,,,10 kA,,,,
443,MCB-003,Miniature Circuit Breaker (MCB) 3-pole 63A C-curve,63 A,Stck,68,1.6,109,20-100,Heavy power circuits,Siemens/ABB,0.5,,,10 kA,,,,
443,RCD-001,Residual Current Device (RCD) 40A 30mA Type A,40 A,Stck,85,1.5,128,20-80,Personal protection,Siemens/Hager,0.4,,,,,30 mA,,
443,RCD-002,Residual Current Device (RCD) 63A 300mA Type B,63 A,Stck,285,1.4,399,10-40,Equipment protection,Siemens/Hager,0.6,,,,,300 mA,,
444,CB-001,Power Cable NYM-J 3x1.5mm² 230V,3x1.5 mm²,m,2.5,2.8,7,500-2000,Lighting circuits,Lapp/Helukabel,0.08,,,,,,,
444,CB-002,Power Cable NYM-J 5x2.5mm² 400V,5x2.5 mm²,m,4.5,2.6,12,400-1500,Power circuits,Lapp/Helukabel,0.15,,,,,,,
444,CB-003,Power Cable NYM-J 5x4mm² 400V,5x4 mm²,m,6.8,2.5,17,300-1200,Heavy power circuits,Lapp/Helukabel,0.22,,,,,,,
444,CB-004,Power Cable NYY-J 5x10mm² 400V,5x10 mm²,m,14.5,2.2,32,200-800,Sub-main distribution,Lapp/Helukabel,0.55,,,,,,,
444,CB-005,Power Cable NYY-J 4x25mm² 400V,4x25 mm²,m,28.5,2,57,150-600,Main distribution feeders,Lapp/Helukabel,1.2,,,,,,,
444,CB-006,Power Cable NYY-J 4x50mm² 400V,4x50 mm²,m,48.5,1.9,92,100-400,Primary distribution,Lapp/Helukabel,2.2,,,,,,,
444,CB-007,Power Cable NYY-J 4x95mm² 400V,4x95 mm²,m,85.5,1.8,154,80-300,Large primary feeders,Lapp/Helukabel,4.2,,,,,,,
444,CB-008,Power Cable NYY-J 4x150mm² 400V,4x150 mm²,m,125.5,1.7,213,60-250,Main building feeders,Lapp/Helukabel,6.5,,,,,,,
444,CT-001,Cable Tray Galvanized Steel 200mm width,200 mm,m,18,2.5,45,100-400,Cable routing,OBO/Ebo,4.5,,,,,,,
444,CT-002,Cable Tray Galvanized Steel 400mm width,400 mm,m,32,2.3,74,80-300,Main cable routing,OBO/Ebo,8.5,,,,,,,
444,CT-003,Cable Ladder 600mm width,600 mm,m,45,2.2,99,60-250,Heavy cable routing,OBO/Ebo,12.5,,,,,,,
444,CD-001,Plastic Conduit M25 Heavy Duty,M25,m,3.5,3,11,200-800,Cable protection,Fränkische/Rehau,0.3,,,,,,,
445,LT-001,LED Panel Light 600x600mm 40W 4000K,40 W,Stck,45,2.2,99,50-250,Office ceiling lighting,Osram/Philips,3.2,,,,,,4000 lm,
445,LT-002,LED Panel Light 1200x300mm 45W 4000K,45 W,Stck,52,2.2,114,40-200,Corridor lighting,Osram/Philips,3.8,,,,,,4500 lm,
445,LT-003,LED Downlight 150mm 15W 3000K,15 W,Stck,28,2.5,70,60-300,Recessed ceiling lighting,Osram/Philips,0.8,,,,,,1500 lm,
445,LT-004,LED Downlight 200mm 25W 4000K,25 W,Stck,38,2.4,91,50-250,Large recessed lighting,Osram/Philips,1.2,,,,,,2500 lm,
445,LT-005,LED High Bay Light 100W 5000K,100 W,Stck,95,2,190,20-100,Warehouse/industrial,Osram/Philips,4.5,,,,,,13000 lm,
445,LT-006,LED High Bay Light 150W 5000K,150 W,Stck,135,1.9,257,15-80,Large warehouse lighting,Osram/Philips,6.5,,,,,,19500 lm,
445,LT-007,LED Tube T8 1200mm 18W 4000K,18 W,Stck,12,2.8,34,100-400,Linear lighting retrofit,Osram/Philips,0.3,,,,,,1800 lm,
445,LT-008,LED Tube T8 1500mm 22W 4000K,22 W,Stck,15,2.8,42,80-350,Long linear lighting,Osram/Philips,0.4,,,,,,2200 lm,
445,LT-009,LED Bulkhead Light 18W 4000K IP65,18 W,Stck,32,2.3,74,30-150,Outdoor/wet area lighting,Osram/Philips,1.2,,,,,,1800 lm,
445,LT-010,LED Floodlight 50W 4000K IP65,50 W,Stck,48,2.2,106,10-60,Outdoor area lighting,Osram/Philips,2.8,,,,,,6500 lm,
445,LT-011,LED Floodlight 100W 5000K IP65,100 W,Stck,85,2,170,8-50,Large outdoor lighting,Osram/Philips,4.5,,,,,,13000 lm,
445,LT-012,Emergency LED Exit Sign with Battery,3 W,Stck,45,2,90,20-100,Emergency exit marking,Ceag/Eaton,1.5,,,,,,300 lm,
445,LT-013,Emergency LED Luminaire 8W with Battery,8 W,Stck,68,2,136,15-80,Emergency lighting,Ceag/Eaton,2.2,,,,,,800 lm,
445,LC-001,Lighting Control System DALI Gateway,64 devices,Stck,485,1.5,728,1-5,Intelligent lighting control,Tridonic/Helvar,1.5,,,,,,,
445,LC-002,Presence Detector PIR 360° Surface Mount,8m radius,Stck,58,1.8,104,20-100,Automatic lighting control,Steinel/Gira,0.3,,,,,,,
445,LC-003,Daylight Sensor with Dimming Output,1-10V,Stck,95,1.7,162,10-50,Daylight harvesting,Theben/Steinel,0.4,,,,,,,
446,PFC-001,Power Factor Correction Unit 50 kVAr,50 kVAr,Stck,4500,1.4,6300,1,Reactive power compensation,Epcos/Schneider,185,,,,,,,
446,PFC-002,Power Factor Correction Unit 100 kVAr,100 kVAr,Stck,7500,1.4,10500,1,Large PF compensation,Epcos/Schneider,385,,,,,,,
446,UPS-001,UPS System 10 kVA Online Double Conversion,10 kVA,Stck,6500,1.5,9750,1-3,IT equipment backup,APC/Eaton,125,,,,,,,10 min
446,UPS-002,UPS System 20 kVA Online Double Conversion,20 kVA,Stck,11500,1.4,16100,1-2,Server room backup,APC/Eaton,245,,,,,,,10 min
446,UPS-003,UPS System 60 kVA Online Double Conversion,60 kVA,Stck,28500,1.3,37050,1,Data center backup,APC/Eaton,585,,,,,,,10 min
446,UPS-004,UPS Battery Cabinet for 20 kVA Extended Runtime,20 kVA,Stck,4500,1.3,5850,1-3,Extended UPS backup,APC/Eaton,285,,,,,,,+30 min
447,SO-001,Schuko Socket Outlet 230V 16A Surface Mount,16 A,Stck,8,2.5,20,100-400,General power outlets,Gira/Berker,0.15,,,,,,,
447,SO-002,Schuko Socket Outlet 230V 16A Flush Mount,16 A,Stck,12,3,36,80-350,Wall-mounted outlets,Gira/Berker,0.12,,,,,,,
447,SO-003,CEE Socket 400V 16A 5-pin,16 A 3P,Stck,18,2.2,40,20-100,3-phase equipment,Mennekes/PCE,0.35,,,,,,,
447,SO-004,CEE Socket 400V 32A 5-pin,32 A 3P,Stck,28,2,56,15-80,Heavy equipment power,Mennekes/PCE,0.65,,,,,,,
447,SO-005,Floor Socket Box 4x Schuko IP44,4 outlets,Stck,85,2.5,213,10-60,Floor power distribution,OBO/Ackermann,2.5,,,,,,,
447,SO-006,"Power Distribution Unit 19"" 8x Schuko",8 outlets,Stck,125,1.5,188,5-30,Rack power distribution,APC/Eaton,2.8,,,,,,,
