Architect room names,Area,Volume,BKW_name,RoomType,Heating_W_per_m2,Cooling_W_per_m2,Ventilation_m3_h_per_person,RelativeHumidity_pct,SuggestedCoolingEquipment,SuggestedHeatingEquipment,SuggestedVentilationEquipment,Notes,HLT_required_KW,KLT_required_KW,estimated_persons,RLT_required_m3h
Staff Kitchen,18.5,55.5,Teeküchen/Catering,Teeküchen/Catering,40,0,6.0,50,Local split AC,Hydronic heating,Local exhaust hood,Heat from equipment,0.74,0.0,1.85,11.100000000000001
Conference Room B,32.0,96.0,Seminar-/Besprechungsräume,Seminar-/Besprechungsräume,40,60,15.0,60,Packaged AHU + chilled ceiling,Hydronic coil in AHU,Central VAV ventilation,High ventilation demand,1.28,1.92,3.2,48.0
Workstation Area,110.0,330.0,Großraumbüros,Großraumbüros,40,50,0.0,50,VRF/VRV heat pump,Hydronic heating in FCU/window units,Window or decentralized ventilation,Manual window ventilation possible,4.4,5.5,11.0,0.0
Filing Room,14.0,42.0,Lager innenliegend,Lager innenliegend,0,0,3.0,50,,,Minimal extract,Unconditioned,0.0,0.0,1.4,4.199999999999999
Cleaning Supply,6.5,19.5,Putzräume,Putzräume,0,0,3.0,50,,,Local exhaust,Small utility space,0.0,0.0,0.65,1.9500000000000002
Boardroom,68.0,204.0,Seminar-/Besprechungsräume,Seminar-/Besprechungsräume,40,60,15.0,60,Packaged AHU + chilled ceiling,Hydronic coil in AHU,Central VAV ventilation,High ventilation demand,2.72,4.08,6.8,102.0
Admin Office,22.5,67.5,Einzel-/Zweierbüros,Einzel-/Zweierbüros,40,50,0.0,50,Split or VRF system,Electric radiator or small FCU,Decentralized supply/extract,CO2-based control recommended,0.9,1.125,2.25,0.0
IT Server Closet,12.0,36.0,Serverräume,Serverräume,0,0,1.5,50,Precision CRAC or in-row cooling,Backup heater,Dedicated ventilation,Follow IT load table,0.0,0.0,1.2,1.7999999999999998
Pantry Area,15.0,45.0,Teeküchen/Catering,Teeküchen/Catering,40,0,6.0,50,Local split AC,Hydronic heating,Local exhaust hood,Heat from equipment,0.6,0.0,1.5,9.0
Mail Room,18.0,54.0,Lager innenliegend,Lager innenliegend,0,0,3.0,50,,,Minimal extract,Unconditioned,0.0,0.0,1.8,5.4
